"country","goldOlympicMedals","silverOlympicMedals","bronzeOlympicMedials","totalOlympicMedals","pop2021"
"United States","1127","907","793","2827","332915.0730"
"Germany","283","282","290","855","83900.4730"
"United Kingdom","274","299","310","883","68207.1160"
"France","248","276","316","840","65426.1790"
"Italy","246","214","241","701","60367.4770"
"China","237","195","176","608","1444216.1070"
"Sweden","202","216","234","652","10160.1690"
"Russia","195","163","188","546","145912.0250"
"Norway","188","174","158","520","5465.6300"
"Hungary","176","149","173","498","9634.1640"
"Japan","156","158","183","497","126050.8040"
"Finland","144","148","178","470","5548.3600"
"Canada","137","166","198","501","38067.9030"
"Netherlands","130","136","149","415","17173.0990"
"South Korea","121","112","104","337","51305.1860"
"Switzerland","106","120","119","345","8715.4940"
"Romania","89","95","123","307","19127.7740"
"Austria","82","114","123","319","9043.0700"
"Cuba","78","68","80","226","11317.5050"
"Poland","75","90","141","306","37797.0050"
"Bulgaria","52","89","83","224","6896.6630"
"New Zealand","46","28","46","120","4860.6430"
"Spain","46","64","44","154","46745.2160"
"Denmark","45","75","75","195","5813.2980"
"Belgium","41","55","58","154","11632.3260"
"Turkey","39","24","28","91","85042.7380"
"Ukraine","38","31","60","129","43466.8190"
"Greece","33","43","40","116","10370.7440"
"Kenya","31","38","34","103","54985.6980"
"Brazil","30","36","63","129","213993.4370"
"South Africa","26","31","29","86","60041.9940"
"Czech Republic","24","28","35","87","10724.5550"
"Ethiopia","22","11","21","54","117876.2270"
"Jamaica","22","35","21","78","2973.4630"
"Argentina","21","25","28","74","45605.8260"
"Belarus","20","32","44","96","9442.8620"
"Iran","19","22","28","69","85028.7590"
"North Korea","16","17","23","56","25887.0410"
"Kazakhstan","16","24","31","71","18994.9620"
"Croatia","15","16","13","44","4081.6510"
"Estonia","13","11","17","41","1325.1850"
"Mexico","13","24","32","69","130262.2160"
"Slovakia","12","16","8","36","5460.7210"
"India","9","7","12","28","1393409.0380"
"Ireland","9","10","12","31","4982.9070"
"Uzbekistan","9","6","17","32","33935.7630"
"Thailand","9","8","16","33","69950.8500"
"Georgia","8","7","17","32","3979.7650"
"Egypt","7","10","15","32","104258.3270"
"Indonesia","7","13","12","32","276361.7830"
"Slovenia","7","13","20","40","2078.7240"
"Azerbaijan","7","11","24","42","10223.3420"
"Bahamas","6","2","6","14","396.9130"
"Morocco","6","5","12","23","37344.7950"
"Lithuania","6","6","13","25","2689.8620"
"Algeria","5","4","8","17","44616.6240"
"Taiwan","5","7","12","24","23855.0100"
"Colombia","5","9","14","28","51265.8440"
"Tunisia","4","2","7","13","11935.7660"
"Portugal","4","8","12","24","10167.9250"
"Latvia","4","14","10","28","1866.9420"
"Cameroon","3","1","2","6","27224.2650"
"Dominican Republic","3","2","2","7","10953.7030"
"Zimbabwe","3","4","1","8","15092.1710"
"Pakistan","3","3","4","10","225199.9370"
"Australia","3","4","5","12","25788.2150"
"Serbia","3","6","6","15","8697.5500"
"Trinidad and Tobago","3","5","11","19","1403.3750"
"Nigeria","3","10","12","25","211400.7080"
"Bahrain","2","1","0","3","1748.2960"
"Uganda","2","3","2","7","47123.5310"
"Liechtenstein","2","2","6","10","38.2500"
"Uruguay","2","2","6","10","3485.1510"
"Chile","2","7","4","13","19212.3610"
"Armenia","2","6","6","14","2968.1270"
"Venezuela","2","4","9","15","28704.9540"
"Mongolia","2","10","14","26","3329.2890"
"Fiji","1","0","0","1","902.9060"
"Jordan","1","0","0","1","10269.0210"
"Grenada","1","1","0","2","113.0210"
"Suriname","1","0","1","2","591.8000"
"United Arab Emirates","1","0","1","2","9991.0890"
"Burundi","1","1","0","2","12255.4330"
"Ecuador","1","1","0","2","17888.4750"
"Mozambique","1","0","1","2","32163.0470"
"Panama","1","0","2","3","4381.5790"
"Hong Kong","1","1","1","3","7552.8100"
"Syria","1","1","1","3","18275.7020"
"Ivory Coast","1","1","1","3","27053.6290"
"Luxembourg","1","3","0","4","634.8140"
"Costa Rica","1","1","2","4","5139.0520"
"Tajikistan","1","1","2","4","9749.6270"
"Peru","1","3","0","4","33359.4180"
"Vietnam","1","3","0","4","98168.8330"
"Singapore","1","2","2","5","5896.6860"
"Puerto Rico","1","2","6","9","2828.2550"
"Israel","1","1","7","9","8789.7740"
"Bermuda","0","0","1","1","62.0900"
"United States Virgin Islands","0","1","0","1","104.2260"
"Tonga","0","1","0","1","106.7600"
"Samoa","0","1","0","1","200.1490"
"Barbados","0","0","1","1","287.7110"
"Montenegro","0","1","0","1","628.0530"
"Guyana","0","0","1","1","790.3260"
"Djibouti","0","0","1","1","1002.1870"
"Cyprus","0","1","0","1","1215.5840"
"Mauritius","0","0","1","1","1273.4330"
"Gabon","0","1","0","1","2278.8250"
"Botswana","0","1","0","1","2397.2410"
"Eritrea","0","0","1","1","3601.4670"
"Paraguay","0","1","0","1","7219.6380"
"Togo","0","0","1","1","8478.2500"
"Senegal","0","1","0","1","17196.3010"
"Guatemala","0","1","0","1","18249.8600"
"Iraq","0","0","1","1","41179.3500"
"Sudan","0","1","0","1","44909.3530"
"Kuwait","0","0","2","2","4328.5500"
"Haiti","0","1","1","2","11541.6850"
"Zambia","0","1","1","2","18920.6510"
"Sri Lanka","0","2","0","2","21497.3100"
"Niger","0","1","1","2","25130.8170"
"Afghanistan","0","0","2","2","39835.4280"
"Tanzania","0","2","0","2","61498.4370"
"Saudi Arabia","0","1","2","3","35340.6830"
"Iceland","0","2","2","4","343.3530"
"Namibia","0","4","0","4","2587.3440"
"Kyrgyzstan","0","1","3","4","6628.3560"
"Lebanon","0","2","2","4","6769.1460"
"Ghana","0","1","3","4","31732.1290"
"Qatar","0","1","4","5","2930.5280"
"Moldova","0","2","3","5","4024.0190"
"Philippines","0","3","7","10","111046.9130"
"Malaysia","0","7","4","11","32776.1940"